Date,reach_id,wse,wse_units
2023-09-02 18:30:15+00:00,45249600061,203.5451,m
2023-10-14 12:00:23+00:00,45249600061,203.0802,m
2023-11-04 08:45:28+00:00,45249600061,203.6102,m
2023-11-25 05:30:34+00:00,45249600061,204.1788,m
2023-12-16 02:15:37+00:00,45249600061,205.8342,m
2024-01-05 23:00:44+00:00,45249600061,203.8801,m
2024-01-26 19:45:49+00:00,45249600061,203.6931,m
2024-02-16 16:30:54+00:00,45249600061,205.9113,m
2024-03-08 13:15:58+00:00,45249600061,205.8862,m
2024-03-29 10:01:02+00:00,45249600061,203.7523,m
2024-04-19 06:46:08+00:00,45249600061,205.6629,m
2024-05-10 03:31:12+00:00,45249600061,202.0486,m
2024-05-31 00:16:17+00:00,45249600061,207.3389,m
2024-06-20 21:01:21+00:00,45249600061,203.646,m
2024-07-11 17:46:25+00:00,45249600061,204.4408,m
2024-08-01 14:31:29+00:00,45249600061,202.6914,m
2024-08-22 11:16:33+00:00,45249600061,203.7171,m
2024-09-12 08:01:39+00:00,45249600061,203.8086,m
2024-10-03 04:46:48+00:00,45249600061,203.0351,m
2024-10-24 01:31:51+00:00,45249600061,202.4889,m
2024-12-04 19:02:00+00:00,45249600061,203.3636,m
2024-12-25 15:47:05+00:00,45249600061,203.6718,m
2025-01-15 12:32:09+00:00,45249600061,203.5939,m
2025-02-05 09:17:12+00:00,45249600061,203.2611,m
2025-02-26 06:02:18+00:00,45249600061,202.9129,m
2025-02-27 16:54:45+00:00,45249600061,188.1178,m
2025-03-19 02:47:23+00:00,45249600061,203.4065,m
2025-04-08 23:32:26+00:00,45249600061,203.6308,m
2025-04-29 20:17:32+00:00,45249600061,202.8481,m
