Date,reach_id,wse,wse_units
2023-08-09 08:36:11+00:00,45220400291,6.8426,m
2023-08-30 05:21:16+00:00,45220400291,7.7052,m
2023-09-07 16:48:48+00:00,45220400291,7.2053,m
2023-09-20 02:06:22+00:00,45220400291,5.635,m
2023-09-28 13:33:51+00:00,45220400291,6.3308,m
2023-10-10 22:51:24+00:00,45220400291,7.0024,m
2023-10-19 10:18:55+00:00,45220400291,6.4708,m
2023-10-31 19:36:29+00:00,45220400291,8.4516,m
2023-11-09 07:04:01+00:00,45220400291,4.2687,m
2023-11-21 16:21:35+00:00,45220400291,4.0848,m
2023-11-30 03:49:06+00:00,45220400291,4.3457,m
2023-12-12 13:06:39+00:00,45220400291,3.9128,m
2023-12-21 00:34:10+00:00,45220400291,5.6165,m
2024-01-02 09:51:44+00:00,45220400291,2.9715,m
2024-01-10 21:19:15+00:00,45220400291,3.9449,m
2024-01-31 18:04:22+00:00,45220400291,5.3354,m
2024-02-13 03:21:55+00:00,45220400291,6.6893,m
2024-02-21 14:49:27+00:00,45220400291,5.8058,m
2024-03-05 00:07:00+00:00,45220400291,6.9408,m
2024-03-13 11:34:29+00:00,45220400291,4.0862,m
2024-03-25 20:52:03+00:00,45220400291,1.5794,m
2024-04-03 08:19:34+00:00,45220400291,2.3064,m
2024-04-15 17:37:09+00:00,45220400291,6.6391,m
2024-04-24 05:04:40+00:00,45220400291,3.0918,m
2024-05-06 14:22:12+00:00,45220400291,4.6225,m
2024-05-15 01:49:44+00:00,45220400291,3.5496,m
2024-05-27 11:07:17+00:00,45220400291,2.4666,m
2024-06-04 22:34:50+00:00,45220400291,6.0924,m
2024-06-17 07:52:23+00:00,45220400291,7.2696,m
2024-06-25 19:19:53+00:00,45220400291,7.4153,m
2024-07-08 04:37:26+00:00,45220400291,7.2159,m
2024-07-16 16:04:57+00:00,45220400291,7.6656,m
2024-07-29 01:22:31+00:00,45220400291,6.6009,m
2024-08-06 12:50:02+00:00,45220400291,6.7515,m
2024-08-27 09:35:06+00:00,45220400291,7.1937,m
2024-09-08 18:52:41+00:00,45220400291,6.6095,m
2024-09-17 06:20:13+00:00,45220400291,5.8243,m
2024-09-29 15:37:49+00:00,45220400291,7.3612,m
2024-10-20 12:22:53+00:00,45220400291,6.7808,m
2024-10-28 23:50:23+00:00,45220400291,6.8535,m
2024-11-18 20:35:28+00:00,45220400291,8.9959,m
2024-12-01 05:53:02+00:00,45220400291,3.4441,m
2024-12-09 17:20:32+00:00,45220400291,5.0463,m
2024-12-22 02:38:06+00:00,45220400291,2.6043,m
2024-12-30 14:05:37+00:00,45220400291,4.9127,m
2025-01-20 10:50:41+00:00,45220400291,5.9563,m
2025-02-01 20:08:14+00:00,45220400291,0.925,m
2025-02-10 07:35:45+00:00,45220400291,6.9365,m
2025-02-22 16:53:20+00:00,45220400291,6.9161,m
2025-03-03 04:20:50+00:00,45220400291,7.0539,m
2025-03-15 13:38:24+00:00,45220400291,7.3512,m
2025-03-24 01:05:55+00:00,45220400291,3.3941,m
2025-04-05 10:23:27+00:00,45220400291,3.3358,m
2025-04-13 21:50:59+00:00,45220400291,4.8766,m
2025-04-26 07:08:34+00:00,45220400291,3.8936,m
